epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.848395000773854,0.0010210002638942968,0.034962510271497965,0.0015159319322694308,0.005299603857202836,0.010699761581216133,0.315120130777359,0.34377968855526136,0.0,0.0,0.0,0.0,0.0,0.5814207792282104,0.0005,22.7,True
1,0.22287426380277017,0.0,0.0,0.0,0.0,0.0,0.5659389495849609,0.11194697003001752,0.0,0.0,0.0,0.0,0.0,0.6081967353820801,0.0005,20.7,False
2,0.084616538802051,0.0,0.261906652813342,0.0,0.0,0.0654766632033355,0.5696683526039124,0.08309088239203329,0.0,0.4665630068012594,0.0,0.0,0.11664075170031485,0.5199462175369263,0.0005,21.0,True
3,0.042225179961610786,0.0,0.7999424982610298,0.0,0.0,0.19998562456525745,0.5750534534454346,0.04170175048968067,0.0,0.6619347812497962,0.0,0.0,0.16548369531244905,0.5700439214706421,0.0005,20.6,True
4,0.02855073942911017,0.0,0.8426259414106702,0.0,0.0,0.21065648535266754,0.5885145664215088,0.0341022120302786,0.0,0.6341131947450886,0.0,0.0,0.15852829868627216,0.5985047221183777,0.0005,20.6,False
5,0.021722433125605494,0.0,0.8724197979846673,0.0,0.0,0.21810494949616682,0.5964437127113342,0.033068004120951115,0.0,0.6044004784379451,0.0,0.0,0.15110011960948627,0.6057514548301697,0.0005,20.7,False
6,0.018004158493289697,0.0,0.8848008000960533,0.0,0.0,0.22120020002401333,0.6046414971351624,0.033911444588928766,0.0,0.5631234282709385,0.0,0.0,0.14078085706773463,0.5940368175506592,0.0005,20.5,False
7,0.015044702980772885,0.0,0.9069855233147043,0.0,0.0,0.22674638082867607,0.6146406531333923,0.025985114598322822,0.0,0.7466741821168227,0.0,0.0,0.18666854552920567,0.6128135323524475,0.0005,20.8,True
8,0.013381933790127675,0.0,0.9134360153495048,0.0,0.0,0.2283590038373762,0.6222137212753296,0.020859217184150347,0.0,0.7787438812411042,0.0,0.0,0.19468597031027604,0.6160073280334473,0.0005,20.7,True
9,0.011611630518131865,0.0,0.9261221621987601,0.0,0.0,0.23153054054969002,0.6264359354972839,0.027675516455960662,0.0,0.6253126862066691,0.0,0.0,0.15632817155166728,0.6025010347366333,0.0005,20.6,False
10,0.010730792451043093,0.002532751005761,0.9170080330159596,0.0,0.472047331565479,0.3478970288967999,0.6707679033279419,0.020872658685497616,0.000592958616429895,0.7791734748057024,0.0,0.4315784094946168,0.3028362107291873,0.6611718535423279,0.0005,20.8,True
11,0.008890539793582586,0.05256282856533988,0.9260385024743977,0.0,0.746999273154343,0.43140015104852014,0.7269659638404846,0.021323312517842682,0.014771420997021107,0.7702018252474427,0.0,0.45871590808921736,0.3109222885834203,0.665960431098938,0.0005,20.8,True
12,0.007493910871422388,0.14403869914769124,0.9350336593565044,0.0,0.7979218632140336,0.46924855542955735,0.7535930275917053,0.02137057687530456,0.02873599257412124,0.7630575243511393,0.0,0.4943038879717426,0.32152435122425077,0.6543645858764648,0.0005,20.7,True
13,0.006672926712781191,0.24200762562115935,0.939561689700947,0.0,0.820074655730697,0.5004109927632008,0.7706819176673889,0.022467471182386838,0.12577967403355922,0.7465373683719517,0.0,0.4523957600231784,0.3311782006071723,0.6866861581802368,0.0005,20.3,True
14,0.005960772097936539,0.3464280116396069,0.9472248124121824,0.0,0.8379793578971078,0.5329080454872243,0.7911005616188049,0.021422153943390383,0.1799290083734981,0.7850542279212466,0.0,0.4517251904571812,0.35417710668798147,0.6592575311660767,0.0005,20.4,True
15,0.005935484417133751,0.37481664963635813,0.94556509036653,0.0,0.8308466734881178,0.5378071033727515,0.795109748840332,0.031056603441602024,0.1494892878544181,0.6347358532214158,0.0,0.32554950086425694,0.27744366048502267,0.6673879027366638,0.0005,20.1,False
16,0.005673671312097239,0.3804318373873305,0.9402795388304823,9.50595204074064e-05,0.8483495254904009,0.5422889903071553,0.7994557619094849,0.02120315139346412,0.1434176313583823,0.8010660894513718,0.0004856333468231485,0.36126021675272085,0.32655739272732454,0.6746591329574585,0.0005,20.3,False
17,0.005003381567834362,0.4263950451633093,0.9473451186979174,0.33474451369434044,0.8669589315321978,0.6438609022719413,0.8114509582519531,0.022733145082779432,0.2517595797320447,0.7830059074510638,0.25627800381793603,0.30717214089511635,0.3995539079740402,0.6721309423446655,0.0005,20.1,True
18,0.004351105259021707,0.4912218729517327,0.955443874225661,0.62249580955712,0.8729464787765916,0.7355270088777763,0.8266036510467529,0.022515468580304118,0.22594614032360155,0.7746680820016799,0.29047484555897224,0.4883364046427963,0.4448563681317625,0.6763433218002319,0.0005,20.4,True
19,0.004247403091212824,0.5383144279893664,0.9542876487126201,0.6817285382578974,0.8783948037939863,0.7631813546884675,0.8378368020057678,0.022699215532908136,0.23265945106979954,0.7863557440157739,0.23696368069095414,0.35783189335078386,0.40345269228182784,0.6856407523155212,0.0005,20.3,False
20,0.0040732234163689965,0.5741361700054619,0.9542858034813603,0.7246739392739613,0.8754493420942769,0.7821363137137651,0.854526162147522,0.026066381803273385,0.21312888600643803,0.7764118465779764,0.2858169133103182,0.345132352514297,0.4051224996022574,0.6802889108657837,0.0005,20.1,False
21,0.003705574700835744,0.6183143643772236,0.9597283488577236,0.7597858407465031,0.8877997838360002,0.8064070844543627,0.8672826886177063,0.025439481954052337,0.22343575321633602,0.7958146559903192,0.28276145864039204,0.4375960953846173,0.43490199080791614,0.7107398509979248,0.0005,20.1,False
