epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.8078878563287913,0.0018585269344195256,0.008840140551429265,0.0004596826607595371,0.0020515159566215817,0.003302466525807477,0.3306390643119812,0.40916030147801274,0.0,0.0,0.0,0.0,0.0,0.5043715834617615,0.0005,22.7,True
1,0.19335089486736076,0.0,4.683127861098427e-06,0.0,0.0,1.1707819652746068e-06,0.5345227122306824,0.10310878572256668,0.0,0.0,0.0,0.0,0.0,0.6084699630737305,0.0005,20.6,False
2,0.06482765836794215,0.003144512618209964,0.4819900815212982,7.002382109647754e-05,0.00330205389059982,0.12212666796280112,0.5536452531814575,0.04855004877823851,0.0,0.6753256782584944,0.0,0.0,0.1688314195646236,0.5970224142074585,0.0005,20.8,True
3,0.03371393435209905,0.0,0.8138629440631537,0.0,0.0,0.20346573601578843,0.6144211292266846,0.03474589594356392,0.0,0.7042763957691904,0.0,0.0,0.1760690989422976,0.6316859722137451,0.0005,20.5,True
4,0.023260567495573006,0.0,0.862567985321273,0.0,0.0,0.21564199633031825,0.6203644871711731,0.03011864403910611,0.0,0.6714498370282869,0.0,0.0,0.16786245925707172,0.6293203830718994,0.0005,21.3,False
5,0.01823694824449528,0.0,0.8830843781569013,0.0,0.0,0.22077109453922533,0.6286484599113464,0.03190692881041247,0.0,0.4250089332847531,0.0,0.0,0.10625223332118827,0.6200944781303406,0.0005,20.8,False
6,0.015232158208756626,0.0,0.899880322064205,0.0,0.0,0.22497008051605125,0.6303108930587769,0.025805267227975572,0.0,0.7168486615490322,0.0,0.0,0.17921216538725804,0.6195129752159119,0.0005,20.7,True
7,0.013366460933405431,0.0,0.9095558548907644,0.0,0.0,0.2273889637226911,0.6314728856086731,0.023037673806285727,0.0,0.753500286817799,0.0,0.0,0.18837507170444975,0.6268506646156311,0.0005,20.6,True
8,0.012206018717679862,0.0,0.9147485282739688,0.0,0.0,0.2286871320684922,0.634939432144165,0.03043708773026162,0.0,0.6188869994361916,0.0,0.0,0.1547217498590479,0.6194230318069458,0.0005,20.6,False
9,0.010978577171766302,0.0,0.9224832944825254,0.0,0.0,0.23062082362063135,0.6356382369995117,0.025803497470105474,0.0,0.7086744579382968,0.0,0.0,0.1771686144845742,0.6326279640197754,0.0005,20.4,False
10,0.01055572676490834,0.0,0.9134063456360426,0.0,0.03992901622215206,0.23833384046454867,0.6385586261749268,0.02334284377992963,0.0,0.7246153968825885,0.0,0.038792811197712135,0.19085205202007516,0.6357377171516418,0.0005,20.6,True
11,0.008865959127433598,0.0,0.9331679947927949,0.0,0.5521616200787334,0.37133240371788206,0.6996020674705505,0.025820006920105738,0.0,0.7118359819159223,0.0,0.33041762331562563,0.260563401307887,0.6561413407325745,0.0005,20.9,True
12,0.007905568603509324,0.0,0.9380557746765504,0.0,0.7291272594265543,0.4167957585257762,0.7289589047431946,0.02377731419603705,0.0,0.7594205142281966,0.0,0.4406574877833487,0.3000195005028863,0.6811633706092834,0.0005,20.4,True
13,0.007490723996380972,0.0,0.9367852773813057,0.0,0.7764803118124254,0.42831639729843274,0.7359619736671448,0.02030191378333889,0.0,0.7965580457031264,0.0,0.4631718247128583,0.3149324676039962,0.6826237440109253,0.0005,20.8,True
14,0.0067129099930217095,0.0,0.9421077987082209,0.0,0.8074843839361553,0.4373980456610941,0.7460746765136719,0.023567342815374065,0.0,0.7719136374210114,0.0,0.503426994417963,0.3188351579597436,0.6875202059745789,0.0005,20.4,True
15,0.006624000711253087,0.0,0.9409042386955168,0.0,0.8197443642160286,0.44016215072788634,0.7485624551773071,0.027111721841831003,0.0,0.7085866363814367,0.0,0.40196899361557953,0.2776389074992541,0.6695756316184998,0.0005,20.5,False
16,0.005920430611048643,0.0,0.9477067503515978,0.0,0.8453685735611737,0.44826883097819287,0.7556411623954773,0.025099436962931498,0.0,0.7582710693240176,0.0,0.44596152415547685,0.3010581483698736,0.6847435832023621,0.0005,20.6,False
17,0.006621547441048384,0.0,0.9348992912439452,0.0,0.8257881312534681,0.44017185562435335,0.7500559091567993,0.0232637780292071,0.0,0.7525363881115609,0.0,0.4535115108912297,0.30151197475069763,0.6820663809776306,0.0005,20.4,False
18,0.005505406543600608,0.0,0.9499536205969724,0.0,0.8603046084179794,0.45256455725373795,0.7620543241500854,0.021828519920160508,0.0,0.7656279499675651,0.0,0.5046687541837426,0.3175741760378269,0.6920995712280273,0.0005,20.4,False
19,0.005169537525624697,0.0,0.9533605689956066,0.0,0.8718492767992668,0.45630246144871833,0.7648072242736816,0.024347724468047408,0.0,0.7293364909796184,0.0,0.5383660965077641,0.31692564687184566,0.6767992377281189,0.0005,20.4,False
20,0.004988150258229323,0.0,0.9551568170603626,0.0,0.8718570787299912,0.4567534739475885,0.7652837038040161,0.02433389379356927,0.0,0.7583373835920155,0.0,0.4531232936684767,0.3028651693151231,0.6827319264411926,0.0005,20.2,False
21,0.004831331364118571,0.0,0.956020038076499,0.0,0.8798477132187114,0.4589669378238026,0.7665498852729797,0.027987073398506493,0.0,0.6761192705861797,0.0,0.4001722198891602,0.26907287261883495,0.6725347638130188,0.0005,20.2,False
22,0.005072112241529044,0.0,0.9521111352537129,0.0,0.8754913989322064,0.4569006335464798,0.7656440734863281,0.021284301673396205,0.0,0.7544903770028871,0.0,0.4845484198825978,0.30975969922137125,0.6872453689575195,0.0005,20.4,False
23,0.004518209019657383,0.0,0.959861425435843,0.0,0.8886849042407544,0.46213658241914934,0.7700745463371277,0.029026353089664,0.0,0.769240674030861,0.0,0.4828275222614325,0.3130170490730734,0.6889903545379639,0.0005,20.6,False
24,0.004582211354624733,0.0,0.9569713394464614,0.0,0.8872705364657869,0.4610604689780621,0.7681782245635986,0.0227666258327625,0.0,0.8074580001177167,0.0,0.5122793299369566,0.3299343325136683,0.6968305110931396,0.0005,20.5,True
