epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,1.9506727486210862,0.0010393260113074512,0.033733982285468894,0.0029765663997584823,0.01215382230604863,0.012475924250645865,0.27186036109924316,1.491483740850326,0.0,0.0,0.0,0.0,0.0,0.5549482107162476,0.0005,21.2,True
1,1.3125737963831023,0.0,0.221069290780837,7.690406387057012e-05,0.005565969861251226,0.056678041176489696,0.5113881230354309,1.1456003823411574,0.0,0.7722115036646393,0.0,0.0,0.19305287591615983,0.5784608721733093,0.0005,19.9,True
2,0.991886962079856,0.0,0.7800856452308533,0.0,0.0,0.19502141130771333,0.5411137342453003,1.0425270795822144,0.0,0.7873230755398513,0.0,0.0,0.19683076888496281,0.27908268570899963,0.0005,20.1,True
3,0.8473529857597585,0.0,0.8520074241298546,0.4512784957393923,0.3905257577375141,0.4234529194016903,0.5800290703773499,0.9051269358451214,0.0,0.8766760540645656,0.7850693214511721,0.7042742416429858,0.5915049042896809,0.7330608367919922,0.0005,19.9,True
4,0.5790380449105476,0.0,0.8814566130349742,0.7763565518173893,0.7773073239551299,0.6087801222018734,0.6954708695411682,0.8747728390431185,0.0,0.8698306580561134,0.6612454469758358,0.7785381024224033,0.577403551863588,0.7467756867408752,0.0005,19.8,False
5,0.48866547275027006,0.0,0.9021849357599699,0.8219970697441674,0.8317354085378934,0.6389793535105077,0.7420894503593445,0.8346300119653755,0.0,0.901819557516012,0.8410806144713991,0.7845723997143609,0.631868142925443,0.7521140575408936,0.0005,20.2,True
6,0.44133423318921244,0.0,0.9193723193503279,0.8634571875051336,0.8669897721732779,0.6624548197571849,0.7733928561210632,0.9108891361350313,0.0,0.9030845119574588,0.419902477734493,0.5959270265069619,0.47972850404972844,0.571536660194397,0.0005,19.8,False
7,0.41032311794225595,0.0,0.9281501449058409,0.8811147041812646,0.8783184474623833,0.6718958241373723,0.7857874035835266,0.8414792309113599,0.0,0.9025121853805022,0.8647288606998579,0.7749516301883166,0.6355481690671692,0.7764844298362732,0.0005,20.1,True
8,0.41092813552701873,0.0,0.9316639016922016,0.8850532380045834,0.890393221190541,0.6767775902218315,0.7799410820007324,0.8390620301622863,0.0,0.9116964910382894,0.8197977727475669,0.8020134269112325,0.6333769226742723,0.7758646011352539,0.0005,20.0,False
9,0.395750972655935,0.016318681984599202,0.9276617294527028,0.892690316971603,0.8966816341181014,0.6833380906317517,0.7562987208366394,0.8117735415970514,0.30185454589034333,0.8994229526717689,0.8389954884439617,0.7862603580678925,0.7066333362684917,0.7737155556678772,0.0005,20.0,True
10,0.28540273557562346,0.562219971588434,0.9337496441443969,0.9078304730225708,0.8985528367977683,0.8255882313882925,0.8438245058059692,0.8039686745459881,0.5363414851676742,0.8423044372321271,0.8376244567076526,0.8066867358053991,0.7557392787282133,0.8429728150367737,0.0005,20.5,True
11,0.23309424145870616,0.673801579377153,0.9402468226978014,0.8977313062588114,0.9069848450346572,0.8546911383421056,0.8765574097633362,0.7524114133567985,0.5796443086188338,0.9095788135069729,0.8682182125429169,0.797921131315088,0.7888406164959529,0.8324894905090332,0.0005,20.2,True
12,0.21079591326757308,0.723578926710466,0.9419127494929814,0.901145610036922,0.9117536672762262,0.8695977383791489,0.8869563341140747,0.7726952091816368,0.5251279630658232,0.9216185801946063,0.7934254538771102,0.8139652535621573,0.7635343126749243,0.8416315317153931,0.0005,20.0,False
13,0.20285924763307658,0.7597228978977876,0.9415734976505713,0.9190818419678943,0.9152641201101079,0.8839105894065904,0.9015656113624573,0.7729291415542637,0.5894250986546083,0.9027405487990909,0.8085402446764203,0.7808564735660423,0.7703905914240405,0.8499264121055603,0.0005,20.0,False
14,0.17965255360993407,0.7856979481750409,0.9470551293436257,0.9166147923609912,0.921189097601223,0.8926392418702203,0.9134151935577393,0.7697676633476117,0.6176842241150687,0.856656227475997,0.8508842289757172,0.8286772384205294,0.7884754797468281,0.8678780794143677,0.0005,20.1,False
15,0.17585829834507874,0.8037822634696676,0.955794584861083,0.9288813814805295,0.9282135800659447,0.9041679524693061,0.9191616177558899,0.7754303583311378,0.6103067557079271,0.8621203734439348,0.8394440873659883,0.8233716504131386,0.7838107167327472,0.8692004680633545,0.0005,19.8,False
16,0.16653518866326103,0.8138088708489313,0.9557200803002577,0.9234663026744617,0.9300840587698879,0.9057698281483847,0.9215204119682312,0.7522275002177702,0.6170804100836841,0.9047355374411044,0.8785377200648179,0.818878083982902,0.8048079378931272,0.8628324866294861,0.0005,20.2,True
17,0.16627221281101945,0.8209926378762897,0.9545529477390009,0.9228758987594949,0.9292038141890621,0.9069063246409619,0.9241082668304443,0.7591879170968991,0.5786339837949397,0.9163567283260697,0.7543014312558565,0.846266836210483,0.7738897448968372,0.8532907962799072,0.0005,20.0,False
18,0.16582376828889964,0.8356708221966795,0.9593112868836073,0.9340030463785838,0.9294274960968436,0.9146031628889285,0.9284945726394653,0.7659573735447105,0.6152015062360603,0.8948539072081184,0.8071653769404857,0.8378332667420695,0.7887635142816836,0.8709275126457214,0.0005,19.8,False
