epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,1.9332405631330765,0.002956782762689724,0.11655739415076657,0.0035394652547079733,0.009982018397395924,0.033258915141390046,0.10755428671836853,1.4454194427630223,0.03770177319953054,0.0,0.0078025944123588,0.007816608581397768,0.013330244048321777,0.5477203726768494,0.0005,21.4,True
1,1.2432947774910417,0.07073832642073384,0.0,0.001088211894899307,0.0020821862598724883,0.01847718114387641,0.5720336437225342,1.131833764391208,0.0,0.0,0.0004373329009494528,0.0,0.0001093332252373632,0.6021614670753479,0.0005,19.9,False
2,0.9932187321718315,0.0,0.0,0.12589420159097003,0.5507262942983473,0.16915512397232935,0.6084690093994141,0.9812001192241634,0.0,0.0,0.2542925474201259,0.7352272625887858,0.24737995250222794,0.6627988219261169,0.0005,20.2,True
3,0.75321022687702,0.0,0.0,0.7286865278922893,0.8533039446165186,0.39549761812720197,0.6730136871337891,0.9141828981014567,0.0,0.0,0.7328552623526124,0.7707817602115455,0.3759092556410395,0.7237989902496338,0.0005,20.1,True
4,0.5354769157889422,0.0,0.6452472465268256,0.8432391076641584,0.88785420718785,0.5940851403447085,0.7315826416015625,0.8658517178045501,0.0,0.8900358912323106,0.8406531425522955,0.7335730409208112,0.6160655186763544,0.7434425950050354,0.0005,20.0,True
5,0.43943611024352025,0.0,0.9033255389073321,0.8781435086133315,0.9007379134907408,0.6705517402528511,0.7629954814910889,0.8600170207679818,0.0,0.8893924296878385,0.7327476287452152,0.808305339194278,0.6076113494068329,0.7510703206062317,0.0005,20.0,False
6,0.418254993286337,0.0,0.9196870312690872,0.8756306803406583,0.9068290867768268,0.6755366995966431,0.7748499512672424,0.8577935383954179,0.0,0.8807726134313774,0.7870679634636307,0.8012715833660357,0.617278040065261,0.769091784954071,0.0005,20.1,True
7,0.40741575219944715,0.0,0.9347879613924097,0.9040740245616556,0.9207063815232771,0.6898920918693356,0.7897644639015198,0.8452125645558769,0.0,0.8881548895280279,0.8444263733258357,0.7945882883722477,0.6317923878065279,0.7689883708953857,0.0005,20.1,True
8,0.3895677991598753,0.0,0.9381465814234121,0.9034563215746568,0.9237089932954431,0.691327974073378,0.8055672645568848,0.8444430582020261,0.0,0.8783915659551986,0.8494224770722241,0.8071378547054971,0.63373797443323,0.7820108532905579,0.0005,20.2,True
9,0.3852740353947386,0.0,0.9413232013761711,0.9098320652117473,0.9297235289017431,0.6952196988724153,0.802473783493042,0.8217416416614427,0.0,0.8779028897297897,0.8509948764155404,0.828300711327967,0.6392996193683242,0.7652473449707031,0.0005,20.0,True
10,0.30931187090706025,0.4086492247876159,0.9390676623077605,0.9069524627350919,0.9239957023402054,0.7946662630426684,0.835773766040802,0.7794776033917699,0.5420556729898728,0.8663118634746395,0.8688580410403525,0.8251547063545128,0.7755950709648445,0.8575723171234131,0.0005,20.0,True
11,0.21898184570879747,0.6882271737111335,0.9434527384722409,0.9156086671442087,0.9226147226357864,0.8674758254908423,0.8916047215461731,0.7794338872126483,0.5817195228090213,0.8772972688441836,0.8617940552996066,0.7901557944408759,0.777741660348422,0.8526305556297302,0.0005,20.4,True
12,0.21121764987342584,0.7304299299198054,0.9439928307704892,0.9114594918454909,0.9229507032503915,0.8772082389465442,0.8956829309463501,0.768093195256837,0.5589329702070684,0.8805300895262661,0.826150100627139,0.8553460051480334,0.7802397913771267,0.8617005348205566,0.0005,20.0,True
13,0.18937672326050767,0.7721798872708263,0.9462927085948406,0.9220708854359109,0.9224268522676932,0.8907425833923177,0.9049822688102722,0.7896914320801376,0.560047169365143,0.8768306495064426,0.797636731144469,0.7930700483923733,0.756896149602107,0.8456665873527527,0.0005,19.8,False
14,0.16968091616025394,0.7976146050269927,0.9477110639546228,0.9285387367117343,0.9283093664758829,0.9005434430423082,0.9209291934967041,0.7855428861915519,0.5685924127709002,0.8449732050160323,0.8445327240421939,0.8265805451783137,0.77116972175186,0.8665298819541931,0.0005,20.0,False
