epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.8475505476632808,0.001724759292118542,0.017756111345083557,0.00043545151532924326,0.006638774050843781,0.25168564915657043,0.36217013493828154,0.0,0.018502377180241107,0.0,0.006167459060080369,0.6419219374656677,0.0005,31.7,True
1,0.19058795395721456,0.0,0.10420571071726184,0.000112461603915198,0.03477272410705901,0.6186843514442444,0.09992127437954364,0.0,0.3470512097065706,0.0,0.11568373656885687,0.6314701437950134,0.0005,22.5,True
2,0.0692520116695939,0.0,0.7460864459000605,8.906373104656653e-05,0.24872516987703566,0.7018929123878479,0.054118380323052405,0.0,0.4835650339991693,0.0,0.16118834466638976,0.7130770683288574,0.0005,21.6,True
3,0.036100993893259645,0.0,0.8625022497562862,0.0,0.28750074991876207,0.7301104068756104,0.03909646566633297,0.0,0.7074913970027266,0.0,0.2358304656675755,0.7160086035728455,0.0005,21.5,True
4,0.024376282790311673,0.0,0.8849074410765593,0.0,0.29496914702551974,0.7389702796936035,0.029488254079352256,0.0,0.760658979469551,0.0,0.25355299315651697,0.7230197787284851,0.0005,21.6,True
5,0.018397944691794114,0.0,0.9063228446535765,0.0,0.3021076148845255,0.7447012662887573,0.028626627228020327,0.0,0.7079415089216938,0.0,0.23598050297389794,0.7178907990455627,0.0005,21.4,False
6,0.015042906219440462,0.0,0.9158720681658228,0.0,0.3052906893886076,0.7520555853843689,0.03061182461274059,0.0,0.655579827079565,0.0,0.21852660902652166,0.7191385626792908,0.0005,21.6,False
7,0.01309310859161569,0.0,0.9211374154616249,0.0,0.307045805153875,0.7529855966567993,0.024746597922690537,0.0,0.6977623917114056,0.0,0.2325874639038019,0.7286616563796997,0.0005,23.1,False
8,0.011582186640828595,0.0,0.9283209205270492,0.0,0.30944030684234974,0.7584235668182373,0.024379693243004704,0.0,0.7071374032942194,0.0,0.23571246776473978,0.7258787155151367,0.0005,21.4,False
9,0.010846792426746518,0.0,0.9278469138308016,0.0,0.30928230461026723,0.7560068964958191,0.021250539630368027,0.0,0.7829013556243339,0.0,0.26096711854144466,0.7369676828384399,0.0005,23.3,True
