epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,1.4675703109492662,0.0013597880470253383,0.015907459941692046,0.0006187273048582481,0.005961991764525211,0.25247853994369507,1.047427631461102,0.0,0.0,0.0,0.0,0.5346994400024414,0.0005,23.7,True
1,0.5699226038567405,0.0006293524221001719,0.23090239235013457,0.0002858595696979086,0.0772725347806442,0.3458099365234375,0.25193782876367155,0.0,0.4930477695112345,0.0,0.16434925650374485,0.6438609957695007,0.0005,21.5,True
2,0.13493062629662558,0.0,0.6706726811573097,0.0,0.2235575603857699,0.6991024613380432,0.07935827782620554,0.0,0.7492302526370433,0.0,0.2497434175456811,0.6996536254882812,0.0005,21.7,True
3,0.05399914969698059,0.0,0.793787011797432,0.0,0.264595670599144,0.7082825303077698,0.05298195296655531,0.0,0.5995159020446214,0.0,0.19983863401487378,0.6634377837181091,0.0005,21.4,False
4,0.030400507270804376,0.0,0.8638192322822449,0.0,0.28793974409408163,0.7334131002426147,0.031254526907983034,0.0,0.7796081278912077,0.0,0.2598693759637359,0.7274196743965149,0.0005,21.5,True
5,0.02085228448749517,0.0,0.8907043077007787,0.0,0.2969014359002596,0.7499956488609314,0.028250117984640857,0.0,0.7361963345251835,0.0,0.24539877817506117,0.7394368648529053,0.0005,21.4,False
6,0.016105911557275074,0.0,0.9069743564577748,0.0,0.30232478548592495,0.7550498843193054,0.02427210438510646,0.0,0.739543390719342,0.0,0.24651446357311402,0.7306658029556274,0.0005,21.3,False
7,0.013835949615493585,0.0,0.9148838360325152,0.0,0.30496127867750505,0.7563382983207703,0.02083073809904897,0.0,0.8007022836624257,0.0,0.2669007612208086,0.7229397296905518,0.0005,21.7,True
8,0.012493692523807751,0.0,0.9131061504629062,0.0,0.3043687168209687,0.7574414014816284,0.021254028351572543,0.0,0.7745001379576484,0.0,0.2581667126525495,0.7386471033096313,0.0005,21.4,False
9,0.011137411650006392,0.0,0.922576899271179,0.0,0.307525633090393,0.7595795392990112,0.02412866616986044,0.0,0.7017137708099145,0.0,0.23390459026997149,0.731940507888794,0.0005,21.3,False
10,0.009154989926286949,0.4694487109078475,0.9303305068631774,0.0,0.4665930725903416,0.7724717855453491,0.022674538053410208,0.5024238002463253,0.7356677940597717,0.0,0.41269719810203237,0.7998020648956299,0.0005,21.6,True
11,0.007234186911889518,0.7436351621579897,0.9329237545410205,0.0,0.5588529722330035,0.8590611219406128,0.02018243598235447,0.5021933516756552,0.8003405281302488,0.0,0.43417795993530134,0.8080415725708008,0.0005,21.8,True
12,0.006820797661672908,0.7517447297761072,0.9298006317400593,0.0,0.5605151205053889,0.8596842885017395,0.017880545689157493,0.5693185077599583,0.7892164482689001,0.0,0.4528449853429528,0.8180618286132812,0.0005,21.5,True
