epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.619181749545481,0.0007577841073216036,0.0043906683456617236,0.000528226064534101,0.004461698586219843,0.0025345942759343178,0.3030362129211426,0.22625514877879102,0.0,0.0,0.0,0.0,0.0,0.5983606576919556,0.0005,23.0,True
1,0.13902907189583305,0.0,2.0938352256369183e-06,0.0005699826119511627,0.0,0.0001430191117941999,0.568352997303009,0.08663359469045763,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,21.0,False
2,0.06072566775399295,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.04856533664076225,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,21.0,False
3,0.04053112963167027,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.0368904631908821,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,20.8,False
4,0.031611387551928376,0.0,0.0,0.0,0.0,0.0,0.6122648119926453,0.033611007338470736,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,21.0,False
5,0.027681445966741183,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.030978625603830037,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,21.1,False
6,0.025065612038676615,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.027372025726767987,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,20.9,False
7,0.02285526889487151,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.04092597607725664,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,20.9,False
8,0.020515150732226227,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.02357458372944561,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,21.1,False
9,0.01788044720228561,0.0,0.0,0.0,0.0,0.0,0.6123535633087158,0.03535217732575763,0.0,0.0,0.0,0.0,0.0,0.6087431907653809,0.0005,20.9,False
10,0.01387381356436411,0.0,0.5757756752607092,0.0,0.6714056499816128,0.31179533131058046,0.6289269924163818,0.0217940080900798,0.0,0.7793373036228213,0.0,0.46416129184486155,0.31087464886692073,0.600091278553009,0.0005,22.0,True
11,0.01041491486253507,0.0,0.8951398006814212,0.0,0.7434218247304158,0.4096404063529593,0.639071524143219,0.017607258392356172,0.0,0.8433803940049748,0.0,0.5532667059571864,0.3491617749905403,0.6274014711380005,0.0005,21.3,True
12,0.0077206133205243105,0.0,0.9216353905135122,0.0,0.8288304720451917,0.43761646563967593,0.6717491745948792,0.01691836486570537,0.0,0.8477395453845018,0.0,0.5088160396258419,0.3391388962525859,0.6483467221260071,0.0005,21.1,False
13,0.006673255251494973,0.0,0.9343562391004527,0.0,0.8472942063754605,0.4454126113689783,0.6895824074745178,0.021152511570076256,0.0,0.7999024459450537,0.0,0.5035136051077875,0.3258540127632103,0.631341278553009,0.0005,21.1,False
